"test_code","qc_code","date","analyte","value"
"PATY","C-PATY1",2019-12-03,"phe",46.61210654
"PATY","C-PATY2",2019-12-03,"phe",504.4430993
"PATY","C-PATY3",2019-12-03,"phe",1423.389831
"PATY","C-PATY1",2019-12-04,"phe",45.28256659
"PATY","C-PATY2",2019-12-04,"phe",439.5302663
"PATY","C-PATY3",2019-12-04,"phe",1462.493947
"PATY","C-PATY1",2019-12-05,"phe",45.20435835
"PATY","C-PATY2",2019-12-05,"phe",449.6973366
"PATY","C-PATY3",2019-12-05,"phe",1517.239709
"PATY","C-PATY1",2019-12-06,"phe",47.70702179
"PATY","C-PATY2",2019-12-06,"phe",444.2227603
"PATY","C-PATY3",2019-12-06,"phe",1525.060533
"PATY","C-PATY1",2019-12-09,"phe",45.59539952
"PATY","C-PATY2",2019-12-09,"phe",468.4673123
"PATY","C-PATY3",2019-12-09,"phe",1376.464891
"PATY","C-PATY1",2019-12-10,"phe",49.34939467
"PATY","C-PATY2",2019-12-10,"phe",455.9539952
"PATY","C-PATY3",2019-12-10,"phe",1345.181598
"PATY","C-PATY1",2019-12-11,"phe",47.31598063
"PATY","C-PATY2",2019-12-11,"phe",443.440678
"PATY","C-PATY3",2019-12-11,"phe",1407.748184
"PATY","C-PATY1",2019-12-12,"phe",51.22639225
"PATY","C-PATY2",2019-12-12,"phe",408.2469734
"PATY","C-PATY3",2019-12-12,"phe",1337.360775
"PATY","C-PATY1",2019-12-13,"phe",43.17094431
"PATY","C-PATY2",2019-12-13,"phe",432.4915254
"PATY","C-PATY3",2019-12-13,"phe",1384.285714
"PATY","C-PATY1",2019-12-16,"phe",45.36077482
"PATY","C-PATY2",2019-12-16,"phe",468.4673123
"PATY","C-PATY3",2019-12-16,"phe",1431.210654
"PATY","C-PATY1",2019-12-17,"phe",45.83002421
"PATY","C-PATY2",2019-12-17,"phe",455.9539952
"PATY","C-PATY3",2019-12-17,"phe",1337.360775
"PATY","C-PATY1",2019-12-18,"phe",46.37748184
"PATY","C-PATY2",2019-12-18,"phe",426.2348668
"PATY","C-PATY3",2019-12-18,"phe",1415.569007
"PATY","C-PATY1",2019-12-19,"phe",52.08668281
"PATY","C-PATY2",2019-12-19,"phe",467.68523
"PATY","C-PATY3",2019-12-19,"phe",1493.77724
"PATY","C-PATY1",2019-12-20,"phe",53.72905569
"PATY","C-PATY2",2019-12-20,"phe",471.5956416
"PATY","C-PATY3",2019-12-20,"phe",1540.702179
"PATY","C-PATY1",2019-12-23,"phe",45.51719128
"PATY","C-PATY2",2019-12-23,"phe",466.9031477
"PATY","C-PATY3",2019-12-23,"phe",1368.644068
"PATY","C-PATY1",2019-12-24,"phe",44.50048426
"PATY","C-PATY2",2019-12-24,"phe",427.0169492
"PATY","C-PATY3",2019-12-24,"phe",1415.569007
"PATY","C-PATY1",2019-12-27,"phe",50.44430993
"PATY","C-PATY2",2019-12-27,"phe",444.2227603
"PATY","C-PATY3",2019-12-27,"phe",1532.881356
"PATY","C-PATY1",2019-12-30,"phe",47.2377724
"PATY","C-PATY2",2019-12-30,"phe",460.6464891
"PATY","C-PATY3",2019-12-30,"phe",1353.002421
"PATY","C-PATY1",2019-12-31,"phe",46.61210654
"PATY","C-PATY2",2019-12-31,"phe",451.2615012
"PATY","C-PATY3",2019-12-31,"phe",1423.389831
"PATY","C-PATY1",2020-01-02,"phe",47.62881356
"PATY","C-PATY2",2020-01-02,"phe",460.6464891
"PATY","C-PATY3",2020-01-02,"phe",1423.389831
"PATY","C-PATY1",2020-01-03,"phe",46.37748184
"PATY","C-PATY2",2020-01-03,"phe",484.8910412
"PATY","C-PATY3",2020-01-03,"phe",1329.539952
"PATY","C-PATY1",2020-01-06,"phe",46.53389831
"PATY","C-PATY1",2020-01-06,"phe",46.69031477
"PATY","C-PATY2",2020-01-06,"phe",436.401937
"PATY","C-PATY3",2020-01-06,"phe",1360.823245
"PATY","C-PATY3",2020-01-06,"phe",1454.673123
"PATY","C-PATY1",2020-01-07,"phe",44.73510896
"PATY","C-PATY2",2020-01-07,"phe",425.4527845
"PATY","C-PATY3",2020-01-07,"phe",1540.702179
"PATY","C-PATY1",2020-01-08,"phe",50.91355932
"PATY","C-PATY2",2020-01-08,"phe",471.5956416
"PATY","C-PATY3",2020-01-08,"phe",1446.8523
"PATY","C-PATY1",2020-01-09,"phe",46.92493947
"PATY","C-PATY2",2020-01-09,"phe",491.9297821
"PATY","C-PATY3",2020-01-09,"phe",1548.523002
"PATY","C-PATY1",2020-01-10,"phe",49.97506053
"PATY","C-PATY2",2020-01-10,"phe",473.9418886
"PATY","C-PATY3",2020-01-10,"phe",1399.927361
"PATY","C-PATY1",2020-01-13,"phe",51.77384988
"PATY","C-PATY2",2020-01-13,"phe",478.6343826
"PATY","C-PATY3",2020-01-13,"phe",1392.106538
"PATY","C-PATY1",2020-01-14,"phe",48.41089588
"PATY","C-PATY2",2020-01-14,"phe",443.440678
"PATY","C-PATY3",2020-01-14,"phe",1329.539952
"PATY","C-PATY1",2020-01-15,"phe",55.84067797
"PATY","C-PATY2",2020-01-15,"phe",461.4285714
"PATY","C-PATY3",2020-01-15,"phe",1368.644068
"PATY","C-PATY1",2020-01-16,"phe",51.53922518
"PATY","C-PATY2",2020-01-16,"phe",418.4140436
"PATY","C-PATY3",2020-01-16,"phe",1370
"PATY","C-PATY1",2020-01-17,"phe",49.11476998
"PATY","C-PATY2",2020-01-17,"phe",424.6707022
"PATY","C-PATY3",2020-01-17,"phe",1370
"PATY","C-PATY1",2020-01-20,"phe",46.768523
"PATY","C-PATY2",2020-01-20,"phe",443
"PATY","C-PATY3",2020-01-20,"phe",1340
"PATY","C-PATY1",2020-01-21,"phe",44.73510896
"PATY","C-PATY2",2020-01-21,"phe",438
"PATY","C-PATY3",2020-01-21,"phe",1310
"PATY","C-PATY1",2020-01-22,"phe",45.4
"PATY","C-PATY1",2020-01-22,"phe",47.9
"PATY","C-PATY2",2020-01-22,"phe",373
"PATY","C-PATY2",2020-01-22,"phe",449
"PATY","C-PATY3",2020-01-22,"phe",1350
"PATY","C-PATY3",2020-01-22,"phe",1450
"PATY","C-PATY1",2020-01-23,"phe",43.7
"PATY","C-PATY2",2020-01-23,"phe",466
"PATY","C-PATY3",2020-01-23,"phe",1420
"PATY","C-PATY1",2020-01-24,"phe",46.1
"PATY","C-PATY1",2020-01-24,"phe",50.9
"PATY","C-PATY2",2020-01-24,"phe",398
"PATY","C-PATY2",2020-01-24,"phe",463
"PATY","C-PATY3",2020-01-24,"phe",1330
"PATY","C-PATY3",2020-01-24,"phe",1470
"PATY","C-PATY1",2020-01-27,"phe",52.3
"PATY","C-PATY2",2020-01-27,"phe",434
"PATY","C-PATY3",2020-01-27,"phe",1500
"PATY","C-PATY1",2020-01-28,"phe",49.3
"PATY","C-PATY2",2020-01-28,"phe",450
"PATY","C-PATY3",2020-01-28,"phe",1570
"PATY","C-PATY1",2020-01-29,"phe",43
"PATY","C-PATY1",2020-01-29,"phe",48.7
"PATY","C-PATY2",2020-01-29,"phe",434
"PATY","C-PATY2",2020-01-29,"phe",458
"PATY","C-PATY3",2020-01-29,"phe",1420
"PATY","C-PATY3",2020-01-29,"phe",1480
"PATY","C-PATY1",2020-01-30,"phe",47.7
"PATY","C-PATY2",2020-01-30,"phe",476
"PATY","C-PATY3",2020-01-30,"phe",1540
"PATY","C-PATY1",2020-01-31,"phe",48.7
"PATY","C-PATY2",2020-01-31,"phe",489
"PATY","C-PATY3",2020-01-31,"phe",1480
"PATY","C-PATY1",2020-02-03,"phe",51.3
"PATY","C-PATY2",2020-02-03,"phe",514
"PATY","C-PATY3",2020-02-03,"phe",1410
"PATY","C-PATY1",2020-02-04,"phe",50.2
"PATY","C-PATY2",2020-02-04,"phe",445
"PATY","C-PATY3",2020-02-04,"phe",1360
"PATY","C-PATY1",2020-02-05,"phe",53.9
"PATY","C-PATY2",2020-02-05,"phe",462
"PATY","C-PATY3",2020-02-05,"phe",1380
"PATY","C-PATY1",2020-02-06,"phe",52.4
"PATY","C-PATY2",2020-02-06,"phe",460
"PATY","C-PATY3",2020-02-06,"phe",1540
"PATY","C-PATY1",2020-02-07,"phe",56.5
"PATY","C-PATY2",2020-02-07,"phe",444
"PATY","C-PATY3",2020-02-07,"phe",1410
"PATY","C-PATY1",2020-02-10,"phe",48.8
"PATY","C-PATY2",2020-02-10,"phe",431
"PATY","C-PATY3",2020-02-10,"phe",1500
"PATY","C-PATY1",2020-02-11,"phe",53.4
"PATY","C-PATY2",2020-02-11,"phe",437
"PATY","C-PATY3",2020-02-11,"phe",1490
"PATY","C-PATY1",2020-02-12,"phe",48.4
"PATY","C-PATY2",2020-02-12,"phe",450
"PATY","C-PATY3",2020-02-12,"phe",1400
"PATY","C-PATY1",2020-02-13,"phe",43.9
"PATY","C-PATY2",2020-02-13,"phe",451
"PATY","C-PATY3",2020-02-13,"phe",1360
"PATY","C-PATY1",2020-02-14,"phe",50.9
"PATY","C-PATY2",2020-02-14,"phe",453
"PATY","C-PATY3",2020-02-14,"phe",1410
"PATY","C-PATY1",2020-02-17,"phe",57.1
"PATY","C-PATY1",2020-02-17,"phe",57.9
"PATY","C-PATY1",2020-02-17,"phe",59.1
"PATY","C-PATY1",2020-02-17,"phe",60.3
"PATY","C-PATY1",2020-02-17,"phe",47.2
"PATY","C-PATY1",2020-02-17,"phe",67.3
"PATY","C-PATY2",2020-02-17,"phe",476
"PATY","C-PATY3",2020-02-17,"phe",1440
"PATY","C-PATY1",2020-02-18,"phe",59.2
"PATY","C-PATY1",2020-02-18,"phe",57.1
"PATY","C-PATY1",2020-02-18,"phe",58.5
"PATY","C-PATY1",2020-02-18,"phe",59.4
"PATY","C-PATY1",2020-02-18,"phe",46.8
"PATY","C-PATY1",2020-02-18,"phe",60.5
